ea_id,latitude,longitude,round,prop_imp,SPEI,prop_female_head,mean_age_head,prop_salaried_head,prop_head_edu_1,prop_head_edu_2,prop_head_edu_3,prop_head_edu_4,prop_head_edu_5,prop_head_edu_6,prop_head_edu_7,total_plot_size,prop_coupon,prop_credit,prop_left_seeds,prop_advice,members_agri_coop,agri_coop,maize_hybrid_sellers,assistant_ag_officer,grid_id
20407398,-13.63619995117188,33.7489013671875,3,.13911532,-.7068770527839661,.15384616,42.23077,0,.76923078,.15384616,0,0,0,0,0,43.439999,0,.140625,.453125,.38461539,0,0,0,1,18
20407398,-13.63619995117188,33.7489013671875,4,.52527577,-.8121358752250671,.23076923,41,.07692308,.46153846,.23076923,.07692308,0,0,0,0,27.559999,0,.054054055,.35135135,.30769232,0,0,0,1,18
20407481,-13.50769996643066,33.73759841918945,1,.30238062,-1.466157913208008,.15384616,47.53846,.46153846,.38461539,.07692308,.15384616,.23076923,0,0,0,21.370001,.11538462,.07692308,.5,.15384616,0,0,10,1,23
20407481,-13.50769996643066,33.73759841918945,2,.75615376,.4876614511013031,.15384616,52.153847,.23076923,.53846157,.07692308,.07692308,.23076923,0,0,0,18.940001,0,.19444445,.47222221,.84615386,0,0,6,1,23
20407481,-13.50769996643066,33.73759841918945,3,.24762101,-.6864842772483826,.23076923,50.23077,.38461539,.61538464,.07692308,.07692308,.15384616,0,0,0,25.65,.016129032,.12903225,.3548387,.46153846,0,0,0,0,23
20407481,-13.50769996643066,33.73759841918945,4,.33214921,-.806800365447998,.23076923,51.692307,.38461539,.69230771,0,.07692308,.15384616,0,0,0,21.02,.01923077,.057692308,.42307693,.15384616,0,0,10,1,23
20508349,-13.48830032348633,34.26139831542969,1,.40144289,-.7293314933776855,.1,39.599998,.40000001,.80000001,0,0,.1,.1,0,0,11.36,.14285715,.23809524,.19047619,.1,0,0,2,0,90
20508349,-13.48830032348633,34.26139831542969,2,.44728994,-.1504975408315659,.1,42.799999,.2,.69999999,0,0,.2,0,0,0,20.780001,0,.375,.29166666,.69999999,4500,1,4,1,90
20508349,-13.48830032348633,34.26139831542969,3,.44273129,-.7666580080986023,.40000001,39.700001,.1,.69999999,0,.1,0,0,.1,0,9.6499996,.13333334,0,.26666668,.42857143,0,0,3,0,90
20508349,-13.48830032348633,34.26139831542969,4,.6745711,-1.029912948608398,.5,48.700001,.2,.80000001,0,.1,0,0,.1,0,21.85,0,.38461539,.5,.5,0,0,2,1,90
20601626,-14.07549953460693,33.91830062866211,1,.30296129,-1.68473494052887,0,39.25,.25,.125,.375,0,.375,0,0,0,12.31,.095238097,.38095239,.2857143,.125,0,0,7,1,3
20601626,-14.07549953460693,33.91830062866211,2,.62885302,.526203989982605,0,37.625,.625,0,.375,0,.5,0,0,0,9.6900005,0,.47058824,.35294119,.75,0,0,8,1,3
20601626,-14.07549953460693,33.91830062866211,3,.4698875,-.3500847220420837,0,41.875,.5,.125,.375,0,.375,.125,0,0,4.8099999,0,.30769232,.53846157,.5,0,0,5,1,3
20601626,-14.07549953460693,33.91830062866211,4,.15042251,-.6240038871765137,.125,44.125,.5,.25,.125,.125,.375,0,0,0,6.4200001,0,.090909094,.45454547,.25,0,0,7,1,3
20603090,-14.26000022888184,33.79830169677734,1,.73994726,-1.557218670845032,.30000001,48.700001,0,.80000001,0,0,0,0,0,0,24.49,.064516127,.29032257,.38709676,.18181819,0,0,0,1,17
20603090,-14.26000022888184,33.79830169677734,2,.5448488,.0785802602767944,.090909094,42,0,.81818181,0,.090909094,0,0,0,0,18.01,.1,.06666667,.46666667,.54545456,0,0,0,1,17
20603090,-14.26000022888184,33.79830169677734,3,.10119815,-.2485807090997696,.18181819,44.545456,0,.81818181,0,.090909094,0,0,0,0,13.73,.043478262,.13043478,.52173913,.22222222,0,0,0,0,17
20603090,-14.26000022888184,33.79830169677734,4,.2362719,-.6320465207099915,.18181819,38.363636,0,.63636363,0,.090909094,.090909094,0,0,0,16.76,0,.14285715,.5714286,.18181819,0,0,2,0,17
20603533,-14.27490043640137,33.75970077514648,1,.79760718,-1.54270601272583,0,43,.33333334,0,0,0,.66666669,0,0,0,7.9400001,.14285715,.2857143,.14285715,.33333334,0,0,5,1,19
20603533,-14.27490043640137,33.75970077514648,2,.2647059,.0831355527043343,.66666669,40.666668,.33333334,.66666669,0,0,0,.33333334,0,0,2.6400001,0,.40000001,0,.66666669,0,0,12,1,19
20603533,-14.27490043640137,33.75970077514648,3,1,-.1712264567613602,.33333334,47.666668,.33333334,0,.33333334,.33333334,0,0,.33333334,0,1.47,0,1,0,.5,0,0,10,1,19
